group	cond	seed	dim	layers	epoch	pt_ood	seq_ood
main	baseline	9	64	2	24	1.0000	1.0000
main	baseline	9	64	2	25	1.0000	1.0000
main	baseline	9	64	2	26	1.0000	1.0000
main	baseline	9	64	2	27	1.0000	1.0000
main	baseline	9	64	2	28	1.0000	1.0000
main	baseline	9	64	2	29	1.0000	1.0000
main	baseline	9	64	2	30	1.0000	1.0000
main	baseline	9	64	2	31	1.0000	1.0000
main	baseline	9	64	2	32	1.0000	1.0000
main	baseline	9	64	2	33	1.0000	1.0000
main	baseline	9	64	2	34	1.0000	1.0000
main	baseline	9	64	2	35	1.0000	1.0000
main	baseline	9	64	2	36	1.0000	1.0000
main	baseline	9	64	2	37	1.0000	1.0000
main	baseline	9	64	2	38	1.0000	1.0000
